Fluxo de crédito rural
Sigla;Código;Estado;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;
AC;12;Acre;46343048,024109;71462871,1474757;61373120,9148043;67735655,5117695;114375746,827759;46271944,6727839;60459798,9798002;35232991,7247086;81238788,7848607;66640006,7959617;88985842,0018571;133512262,64;95763592,1084074;364710151,366703;196888744,813055;208976855,207803;154133055,793477;145595626,77709;131991703,615959;178302168,436601;163844767,959297;210568701,113929;
AL;27;Alagoas;89775308,2008777;65719613,8163247;162696073,137931;141486444,13452;168788360,058561;72084096,3122194;132326099,368315;198412468,12097;349757905,475099;331616982,733363;290088160,056664;278629598,73;270360229,884078;602001728,569525;384414327,398397;314688672,868755;249657858,309758;287202635,770924;278262170,181123;292788794,551853;250965698,583388;308777993,794545;
AM;13;Amazonas;36582947,2159827;114368556,407691;231496324,744947;68381495,291024;70748381,8079013;37681975,5937017;50927437,3567246;37176256,948022;140953239,727315;138673703,268852;160090582,713992;114074116,74;88052647,4322368;368637566,81043;133559373,454836;152706650,755214;98947850,8094525;44070163,355665;73792819,5480806;63198282,2557176;57733261,9420261;60897684,798359;
AP;16;Amapá;2218067,40037069;6584883,51662786;8620782,56478905;8146352,28920448;5069716,98590259;7679190,39779376;7761212,24766633;5528076,453243;6864810,67982548;5341005,03189285;20701037,588895;19509317,24;8366053,21798624;24663677,6005034;18408122,2183333;16578851,2021639;18222223,1974352;12754271,7413113;21162630,5114338;26828402,9640684;15252619,2958252;9452477,6114838;
BA;29;Bahia;988883076,51653;627152910,216704;749439675,492975;990962632,452742;1281882036,69133;841542961,770751;904563499,343979;879169626,62522;2064232433,15299;2512322716,71322;2667531243,91699;2798751993,56;3237749913,54683;7640992426,56967;4442144782,83492;4606808256,27354;3840780323,87495;3353742514,57563;3256556406,16161;3586706084,96662;3305743307,50878;3845914064,56408;
CE;23;Ceará;305564305,057706;311712967,870467;377413253,144002;285545964,252295;288796150,261066;207786147,285093;176213207,716921;278070416,095485;598041388,162075;631044985,279609;656096110,141782;640955869,54;660576329,329065;1342499362,3161;706744793,357928;735155089,224234;549649205,659087;504837629,225146;555125334,525101;517499337,990292;486198991,483527;514052597,487914;
DF;53;Distrito Federal;82281465,7777841;67961557,0742298;85710502,8072213;128183928,588199;146674812,343477;88687847,6634436;110284489,869008;65453641,1001216;133152311,528127;161026717,090641;174072217,801495;223662457;160757996,972698;313054908,025844;173192995,643374;148709561,14679;152978465,861023;96120535,9025928;110061276,359818;162845088,172822;118853911,534128;136404927,879157;
ES;32;Espírito Santo;354298337,195029;382918439,215257;373734262,44649;407961639,438156;451595491,90025;234049157,017768;394099444,140989;464259332,122291;1353040311,06416;1407641581,10626;1703246851,02936;1715669527,78;1757926127,65249;3762734128,56089;1978452536,342;2208362698,8153;1598358853,23881;1211513424,71451;1124016082,75268;1222768231,9929;1131385743,7987;1170313306,86871;
GO;52;Goiás;1955215522,81484;2396008425,22136;2835137600,52603;3345283396,97238;3748248500,54316;2322705894,47;2227514514,97005;1722649467,46685;3884705752,68288;4776457171,99181;4920450626,46831;5549185528,88;6443276532,30649;15825817845,7076;8928925431,16069;10172780784,4033;9098368885,22138;8732803781,10451;9363617578,00053;9567263050,55214;9239079810,51305;10132979064,0568;
MA;21;Maranhão;223764388,700693;200738400,986905;206374367,823378;246062501,262747;437992812,469095;259272876,134204;497894630,848992;405034874,239831;854745864,610182;1025311031,59935;1043945115,37536;1052767396,26;1032688664,65719;2232805897,25984;1432581403,79787;1836218198,58136;1367325007,07857;1311375325,01881;1638601344,76743;1960652267,87739;1998680765,95684;2150204959,89115;
