PIB Estadual (valor adicionado a preços básicos) - agropecuária (preços de 2010)
Sigla;Código;Estado;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;
AC;12;Acre;73700,0003892179;76570,7791742473;93480,0419995012;540168,017830706;634908,039980957;532594,551729793;591702,813700595;484086,776845933;481469,566696289;582510,124224473;544949,793510629;784375;796377,595323032;818686,90848488;940413,070808095;977346,009234386;923403,269083821;924750,593818244;821308,70067564;709515,95527048;587129,627902091;519022,524699463;
AL;27;Alagoas;541418,779526347;674350,396719177;690604,269978003;4700565,69740395;3638392,72444068;3344145,19624896;3279268,96678303;3174657,18658424;2921240,05772625;3537291,01605724;3625720,88752395;2911126;2797560,36145519;2537031,47089485;2780489,63147706;3044846,31440006;3337332,42977049;4283423,65856332;5197034,42390734;4758059,9764926;5315221,71903904;6660980,62675941;
AM;13;Amazonas;405033,986079607;392031,794358299;392640,593644785;2354164,97921766;2069585,41060764;1798061,76831236;1528901,47482882;1695793,01155185;1530956,45141905;1459565,18769119;1575238,22911476;2219359;3982128,00927684;3530476,90987195;4109752,08395937;3821947,52696914;3973129,58587813;3730174,1071274;3429211,20856543;3229545,89908134;2792752,46214609;2698960,71752281;
AP;16;Amapá;85954,0998798731;86526,1441396526;100475,40296355;78250,5289654416;65943,5171973927;82853,879255896;180575,844949925;196476,154368513;202270,452074841;175328,634868125;188067,869977444;196013;204623,228071727;234146,599127174;202017,553150614;198672,799915626;184748,272916334;183645,951916948;190245,99131772;172173,994756531;174925,588201155;179372,781241989;
BA;29;Bahia;3924428,42248522;4764487,35440253;4625686,93315125;12561356,6116927;12674226,4482772;13437888,2669363;11122590,0053097;10721195,7543373;12450216,9644386;11924845,266947;11499156,9960706;10709344;10973481,7970934;10929642,8640296;10423559,9857038;11422236,0844908;12244426,7741879;10488786,2883789;9684739,96038879;11182638,6218992;9826032,84239005;14779621,4376515;
CE;23;Ceará;1103345,23881044;1159788,94764688;953169,185501825;3581174,68785394;4241630,29256106;3834632,86753327;3568000,15861702;4316727,03655399;3708204,29017129;4686409,31906469;3827174,70285236;3495911;4705760,01366677;3369980,82116314;3882069,63786724;4251629,34337579;3537662,58464757;3628913,08162044;4581809,99423742;4153276,35467982;4135406,13954498;5018012,47439;
DF;53;Distrito Federal;123825,942969122;148620,176120274;148439,489733314;314250,248843808;337586,915640648;321313,75992317;335249,929940529;255434,897244037;331637,070857254;367742,523768805;395636,761587998;327805;569079,5895452;421956,512541845;487072,093305896;568064,004238164;429781,784846838;520673,927553205;506860,441273416;598891,860751985;557595,539679363;856993,613419654;
ES;32;Espírito Santo;1300964,19871431;1626283,52236394;925101,52661894;1490187,19174309;1564672,83530361;1921741,45770071;2186872,63313573;2386894,82647509;2258116,53069138;2405836,24079892;2158525,43082761;2243197;2756418,76324279;2716501,67035953;2530976,1151057;2748199,2412269;2592746,01786081;2707968,79244282;2745932,90425885;2566802,12907333;2332818,76476415;2756413,34874025;
GO;52;Goiás;2791870,91139056;3397559,47248964;3672180,77040074;9596387,26679304;9954632,07711533;10194613,8362877;7119126,12685904;5694811,03117338;7301351,62179531;8859936,39267202;9896009,51543482;10376549;10723914,2995266;12038905,2145288;13081509,6979345;11541189,2482055;11046295,1958979;12514946,3213804;11885297,0657989;11656674,4560126;11898315,1454594;15315580,9079005;
MA;21;Maranhão;1395148,1111173;1443758,33215451;1509902,96959429;3547216,73191178;4675372,55723076;4706859,40293846;4311469,99578338;3646727,23804575;3852661,48731772;5823161,64006057;4570957,71960381;4537927;4746946,84880388;4651601,82138913;5437561,04110986;5447178,97652603;4966697,61475101;3836793,14080016;4594684,75391115;4555288,1768035;4114217,49330483;6106930,63055983;
