Ano,Estado,Código,PSDB,PFL,PSB,PPB,PT,PDT,PMDB,PPS,PP,PMN,DEM,PROS,PCdoB,MDB,PSL,UNIAO,REP
1999,AC,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1999,AM,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,AP,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,MA,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,MT,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,PA,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,RO,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,RR,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,TO,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,AC,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000,AM,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,AP,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,MA,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,MT,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,PA,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,RO,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,RR,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,TO,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,AC,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2001,AM,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,AP,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,MA,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,MT,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,PA,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,RO,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,RR,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,TO,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,AC,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2002,AM,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,AP,16,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2002,MA,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,MT,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,PA,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,RO,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,RR,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,TO,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,AC,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2003,AM,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2003,AP,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2003,MA,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,MT,51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2003,PA,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,RO,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2003,RR,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,TO,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2004,AC,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2004,AM,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2004,AP,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2004,MA,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,MT,51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2004,PA,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,RO,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2004,RR,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,TO,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2005,AC,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2005,AM,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2005,AP,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2005,MA,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,MT,51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2005,PA,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,RO,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2005,RR,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,TO,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2006,AC,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2006,AM,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2006,AP,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2006,MA,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,MT,51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2006,PA,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,RO,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2006,RR,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,TO,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007,AC,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2007,AM,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,AP,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,MA,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007,MT,51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007,PA,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2007,RO,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2007,RR,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
