Valor da produção - total
Sigla,Código,Estado,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
AC,12,Acre,280900.588476301,313604.569832282,239926.83754528,269826.593361219,305032.268146111,233521.037819956,254467.854119155,192953.685448906,114561.484314534,129468.926292679,94691.0995564159,185599.619778671,372322.97035885,370196.575249312,448795.125107042,486965.643529851,376911.32985448,367735.33832453,314997.150059418,267881.58616991,238250.485070768,232947.250351828,
AL,27,Alagoas,1646845.28241588,1944919.12130137,2017712.031522,1942452.07226475,1614429.777477,1579125.46102839,1415679.9870786,1400782.56594456,643119.481780024,745637.012532513,739582.893245748,658928.841363926,1830986.68416354,1618944.51164781,1557766.71613205,1443465.54476369,1279283.41307104,1231639.6149259,1288863.18601356,1102007.6144317,1190859.11697252,1282948.16323012,
AM,13,Amazonas,623336.204802765,585857.050279088,659139.663585932,825304.662489146,695456.587208414,597086.938272348,626954.350954053,631618.261401634,262868.018971541,265541.302541642,258711.70061512,260902.762976655,964454.004248486,946383.486376115,1051914.540285,938469.518992806,933412.404562765,1049191.38020253,1053091.08989705,946496.393676147,946321.316491729,843171.229410335,
AP,16,Amapá,54019.0545332735,57613.084738766,65246.4831549614,92652.5017764889,51878.297649218,69499.2234716254,81295.594358913,104223.612746507,62853.4111593843,58434.087576621,51064.4120647809,56510.0808422584,133646.493214715,136850.50655565,108230.110525404,140603.343257742,122612.766857137,116808.511195721,128273.360104912,97938.1567528649,96433.0345403436,88954.9805405562,
BA,29,Bahia,6304559.22557927,7378765.0310708,7155626.4455439,11461686.8631572,10347918.7274673,11711473.7169509,9502564.1625449,9069024.44809776,5068623.3084973,5228544.59008964,4801487.645287,4831342.59921105,11863367.808585,10813970.4927247,9836416.29015261,11508951.8807922,11341960.7374558,10017135.6614447,9446782.70425353,11513189.1974024,10892897.5590664,14585484.8325853,
CE,23,Ceará,1482629.70538049,1473170.63133287,1145793.32381348,1781706.98224577,2074555.77645958,1777736.17382839,1511037.6464879,2032546.45576667,777303.628456006,1076196.70016931,770765.723637088,665061.237530384,2367000.85135941,1432124.99806435,1592298.16926678,1610050.72636983,1134658.09187317,1237435.98250947,1658650.27103815,1573606.16502106,1635434.12206376,1972398.20779098,
DF,53,Distrito Federal,213711.547219348,247079.011846274,237315.309511071,343694.408796113,409897.829493923,371720.554302609,353952.36138336,302484.792174461,159718.559568043,218819.189466147,177791.626678566,159187.809991688,469224.155880131,483662.356256745,451618.581556187,567013.547470666,443284.345206201,484670.091957499,503249.511766063,496994.435881433,511023.332377684,741103.638711968,
ES,32,Espírito Santo,2417226.59348708,2952960.09519817,2064517.20529164,2550397.32053731,2621604.06629736,3301142.03018038,3372562.48305123,3656941.46135491,1791285.01922497,1655117.95368559,1340988.98968086,1412790.78750553,4041701.34629884,3961241.82298514,3330747.00460941,3503715.92780087,3259388.73036255,3387073.80682114,3316675.77355791,3709474.66546335,3363654.18623476,3883831.85501003,
GO,52,Goiás,4810588.23868216,5744719.3837975,6028247.31461059,9342681.9161801,10050477.7149054,11148482.7200375,8299495.23428051,6694756.93199571,3685741.81714393,4736003.41899515,4660443.55743279,4839529.16110216,12361207.5505479,13586314.2924272,14225956.2809358,13281898.6495166,13253154.2370973,15210358.7491979,14969450.0290706,15284928.7854927,16526551.8572694,19104512.0411173,
MA,21,Maranhão,1174349.19809813,1236925.8828432,1460513.74021067,1706625.229253,2184801.32174964,2278222.06577045,2013957.85185789,1685441.11555781,818741.966541273,1389221.55459539,1075150.91793356,1120048.91187257,2659313.54995908,2489157.01411457,2834016.76498268,3263726.3911641,2665343.96796707,1858846.93429745,2574359.59789571,2896230.10185774,2783955.27739411,4097171.93253453,
MG,31,Minas Gerais,11872134.8202132,12050111.7770886,10591840.407263,14454557.7744301,14375343.7355089,17871674.1656352,15837819.3453359,15973990.7094743,6828047.82670191,8509221.03914355,7557346.95680204,8299574.75558503,22903478.9797513,21732151.9162207,19580909.1440087,19172018.5084178,18551448.7839018,24157303.6477377,19090404.2068935,20515885.5964701,19294555.1085861,25074118.0543668,
MS,50,Mato Grosso do Sul,3052413.02536513,2628335.24373343,3340183.98756667,4237168.30657064,6515929.83681513,5540253.59106259,3826609.24486383,3510866.88835254,2167573.37724889,2549198.78198695,2115110.08514868,2444950.23035788,6680414.55467027,7309087.46450112,7669701.06180036,8321759.82223217,8860869.21472768,9615762.74024274,9174808.3014917,10981631.2468275,10580119.6306877,14507793.8839112,
MT,51,Mato Grosso,6462377.66062551,8505358.40535784,8920744.0598467,12022624.8016769,16952122.9278585,22973491.1003152,19042819.4350034,10597884.5620631,6298684.61791051,8502406.39473854,7834229.75336305,6269267.27191197,19851288.277973,22238156.4268734,22986418.4750063,25076410.2683588,25213035.588384,27721972.0164813,26547353.0288854,29377288.6524082,32788208.2722406,41799931.4771581,
PA,15,Pará,2663437.6115437,2446348.2416318,2380176.26994392,2972192.1783817,3004765.1572705,2966992.84200632,2732155.96021182,2719318.17168745,1339278.18209121,1263847.62654714,1296819.39186529,1419119.75237255,3248389.70662753,3316805.41606351,4230965.00254159,4058337.92135267,7084513.4116485,6217954.51995094,6484516.51046351,5851527.72892751,5900825.87229071,7981858.68244377,
PB,25,Paraíba,678798.715621059,929449.819054783,859080.085463671,1002117.80237435,1208098.62257431,1094350.83793135,1097135.95152179,1205784.78703004,471944.831009477,493133.861397854,480335.62554822,433282.111471887,1038124.64413161,883853.164736105,922185.905210359,835944.495876623,777655.30624299,903152.986903212,731286.961386559,755522.170602771,680388.663805152,801694.578550167,
PE,26,Pernambuco,1428754.34957352,1859198.94963503,2059233.6585579,2484018.30299467,2453017.91519347,2582796.91902211,2610439.12096943,2593350.91186887,1164512.41471083,1242185.18418447,1172582.02568032,1280619.54390626,2685843.62149282,2287598.67471835,2410670.13942348,1994916.98832482,2037450.56563777,2131156.9465132,2025783.46667561,2363871.63072133,2598002.44591886,2863653.05357886,
PI,22,Piauí,581288.36739648,556712.893580682,459021.941482226,384787.809914139,866235.693698229,949231.378310306,899391.038605271,832343.208925128,326654.262015232,624147.405913433,580976.219393944,418693.156498462,1629201.38071494,1514589.04065939,1204968.31473201,1833733.10197966,1832186.822502,1095293.34200983,2339333.43010821,2671286.16646804,2438599.05392121,3234235.74413954,
PR,41,Paraná,13882007.6033856,12992205.5863094,14704715.4666634,18500680.0456796,25604867.160632,24171086.3154282,16678131.2988605,15487667.2470781,8987792.85588611,11344591.4049301,8279841.14790373,9051069.21187836,22462964.5766135,21519546.0857884,25450230.6949849,23908892.4871502,23059803.4308466,25475090.0868268,23624048.8929826,24090381.4858964,22855718.6502776,31556038.8336343,
RJ,33,Rio de Janeiro,1006719.16931462,1009336.70773318,956933.123116024,975299.091099644,931353.314258249,1103800.46997495,973635.462457126,915813.447858815,354354.790663189,355556.724701848,396135.570393997,347400.744513317,965175.948638626,1016240.88517843,899036.585470366,915417.009172319,886602.294224562,808327.153775334,760293.109583067,709186.260262306,729993.278726839,777310.548545258,
RN,24,Rio Grande do Norte,456658.715165051,521602.77376822,438872.292272606,824396.584002973,999961.014156848,1046591.17678015,787599.347567425,876149.561699586,354212.290577795,322104.145186698,379688.178010402,296996.151361106,909653.624383796,881365.191412287,849257.353720721,750122.030435813,697970.380731505,802755.358165561,863145.550432936,929379.776635497,955839.379319766,1057056.96207421,
