Área colhida - lavoura temporária
Sigla,Código,Estado,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
AC,12,Acre,81922,93973,91928,90418,95655,112641,106132,108519,107632,96648,78352,78352,116317,116342,117006,104854,95116,94234,85379,72179,68823,69445,
AL,27,Alagoas,655037,646128,639395,637881,504685,588756,617987,612622,610548,647201,620905,620905,558371,486488,520658,514724,399713,367033,436202,363519,413348,398241,
AM,13,Amazonas,150055,148071,145811,148152,137910,126160,164330,160641,136527,138796,139987,139987,131148,123309,118238,106428,95698,99372,102080,94871,95921,98291,
AP,16,Amapá,6903,8317,12451,12602,11197,12191,14054,13490,15153,18438,20368,20368,19518,20595,24097,37749,30223,32950,38370,33280,33785,35718,
BA,29,Bahia,2382667,2897508,2486527,2768836,2999575,3194930,3378282,3164630,3144021,3149807,3204374,3204374,3188647,2629712,2924092,3310999,3532330,3029366,2900595,3054914,3107242,3185417,
CE,23,Ceará,1402879,1471404,1309582,1491505,1497927,1405604,1268002,1380430,1447415,1480179,1518517,1518517,1561076,1159242,827803,1009432,1012572,959452,1109662,1104330,1003949,1018484,
DF,53,Distrito Federal,77121,81551,81896,86296,98759,104730,122593,122093,125972,130176,119690,119690,125617,132508,134553,172931,158457,164642,160942,163304,162254,169874,
ES,32,Espírito Santo,165074,150721,145909,155221,162382,165996,164342,154094,151100,159690,161441,161441,147377,140977,132135,130618,118130,105896,88502,82871,82086,79851,
GO,52,Goiás,2895929,3050771,3103670,3312749,3711902,4254609,4270114,4029664,3915325,4171224,4406532,4406532,4881879,5244131,5601450,6100024,6076786,6010778,6394637,6304674,6621553,6894713,
MA,21,Maranhão,1130797,1212910,1243970,1293564,1400279,1518841,1592694,1601710,1615209,1628583,1560706,1560706,1751843,1776130,1830829,1974673,1802597,1558548,1776587,1794387,1700267,1699974,
MG,31,Minas Gerais,3015833,2956528,2875064,2949812,3243960,3536105,3667102,3400922,3405547,3538236,3656592,3656592,3775614,3881379,4028112,4232588,4208353,4202796,4195498,4166460,4435786,4607469,
MS,50,Mato Grosso do Sul,1959202,1856461,2001623,2026595,2567277,2972281,3003173,2992678,3025680,3165141,3035584,3035584,3434704,3811536,4258483,4487100,4663547,4825136,5189715,5379251,5690550,5853774,
MT,51,Mato Grosso,4259560,4715558,4866341,5626452,6440194,7894146,8916841,7988973,7986278,8817389,8702132,8702132,9880377,11261948,12704132,13499111,14062535,14249896,15540733,15471367,16592915,17149919,
PA,15,Pará,1092714,1075043,921167,863540,983599,1026708,1058747,974955,947333,889618,839879,839879,795692,818683,863704,921703,990082,1043102,1160359,1123143,1187716,1310866,
PB,25,Paraíba,259537,552808,207065,478666,544001,563916,524795,596993,537296,575948,571864,571864,499948,208082,256580,293572,252591,297864,288250,329348,298267,336838,
PE,26,Pernambuco,602338,887357,676248,859874,794600,925090,926377,984594,1015990,1065866,1035650,1035650,967680,485810,463038,705255,536840,513264,549158,598351,504177,634928,
PI,22,Piauí,737353,749025,757798,794618,809609,868867,979458,933371,996189,995973,1060153,1060153,1207695,1087789,1174216,1392863,1387267,1258786,1512822,1527414,1544952,1578798,
PR,41,Paraná,7602688,7001182,8002948,8340566,9267615,9457665,9150319,8842943,9148544,9541669,9822121,9822121,9643291,9832839,10144318,10580584,10488551,10571759,10485008,10331395,10520532,10740759,
RJ,33,Rio de Janeiro,216852,206301,206401,198357,199164,210738,208131,189336,167266,168941,165862,165862,141334,157286,138220,121733,101559,79179,77649,75550,78723,75860,
RN,24,Rio Grande do Norte,169412,300219,167558,312087,324817,341753,263325,293534,247397,292806,275315,275315,261824,137250,136053,151879,121450,115322,146383,216028,234029,235216,
RO,11,Rondônia,359335,343389,283728,245875,291655,351157,386244,393197,377445,398253,436593,436593,442583,474939,446934,460902,505298,502835,584546,570799,656692,721826,
RR,14,Roraima,36420,36420,29255,36740,45406,58407,56807,53582,41088,45124,34024,34024,40275,41278,49536,47553,50589,51955,47465,66450,71665,84045,
RS,43,Rio Grande do Sul,6533190,6747679,6937998,7243836,7736293,8074396,7309808,7657325,7799422,7827631,7750237,7750237,7952822,7821299,8548880,8860487,8775316,8704452,8890966,8839581,9015755,9345659,
SC,42,Santa Catarina,1598055,1629112,1640929,1610896,1716332,1720999,1660056,1663699,1674783,1679207,1641674,1641674,1551645,1479852,1519253,1537549,1503943,1497554,1475080,1434968,1429139,1434107,
SE,28,Sergipe,210046,197992,167164,170892,185600,213161,255072,270808,281941,290965,311339,311339,271373,187499,261708,261592,249006,179410,259576,97640,203439,217799,
SP,35,São Paulo,4952553,4716173,4836170,4899360,5204079,5468870,5652633,5846420,5845063,6590679,6497356,6497356,6911257,7020198,7259460,7497667,7619443,7823320,8019628,7853162,8037075,8064057,
TO,17,Tocantins,288284,289608,305680,338606,406345,534423,676648,578438,578753,631208,593082,593082,705878,730965,833918,1032966,1199380,1195553,1278379,1348373,1413202,1547057,
