Área plantada - lavoura temporária
Sigla,Código,Estado,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
AC,12,Acre,81922,93973,91952,97794,97091,115864,117634,111638,107877,98425,84700,114815,121043,135180,118489,110554,103290,94552,87101,72431,69230,69521,
AL,27,Alagoas,679423,687491,681901,660519,569679,627238,627854,616775,618740,650900,626470,588088,574959,510664,553345,541293,432672,418072,471067,403323,442404,419964,
AM,13,Amazonas,152054,150327,147991,151422,138451,129033,164876,162948,144985,139022,140167,130593,146031,145647,135550,113173,100318,101189,103168,96226,99489,101598,
AP,16,Amapá,6952,8602,12680,12791,12107,13056,14734,14309,15656,18463,20498,22341,22076,20925,24280,39384,30878,34078,38863,34238,34800,36141,
BA,29,Bahia,2719444,2910098,2791302,3054580,3219344,3396708,3535027,3398365,3374656,3413864,3410816,3356322,3520869,3042539,3173428,3584274,3710681,3275959,3133149,3199951,3216103,3229289,
CE,23,Ceará,1402901,1472332,1343624,1492922,1498106,1425409,1271717,1380444,1457146,1516034,1565997,1249534,1561076,1207133,835020,1012060,1013029,961666,1109673,1106614,1011001,1019712,
DF,53,Distrito Federal,77121,81551,81901,86301,98763,110167,122596,122096,125973,130177,119691,116670,125617,132508,134553,172931,158458,164712,160942,163304,163784,169904,
ES,32,Espírito Santo,165466,151195,145919,155221,162525,166136,164362,154094,151249,159690,161451,144614,147384,141022,133936,131024,124941,106258,88513,91259,82156,79856,
GO,52,Goiás,3026158,3060808,3120563,3460538,3715712,4272494,4291352,4040749,3918065,4187320,4409036,4472046,4889269,5244323,5601980,6100279,6087704,6306761,6399617,6311717,6634818,6900413,
MA,21,Maranhão,1151222,1213901,1255056,1295759,1413738,1520015,1605736,1608870,1620345,1629185,1588862,1729552,1751843,1795760,1845490,1975258,1802598,1571680,1783013,1796133,1701124,1699974,
MG,31,Minas Gerais,3015838,2958733,2885899,2993543,3281050,3626812,3676705,3547511,3435778,3574571,3673694,3707924,3809903,3947905,4130827,4329431,4297197,4363801,4251179,4206628,4502247,4640417,
MS,50,Mato Grosso do Sul,1989272,2055107,2014829,2096103,2570366,3007135,3115191,3004163,3032633,3188514,3146388,3185051,3496823,3813582,4266676,4488652,4669667,4871072,5190881,5388542,5693405,5854332,
MT,51,Mato Grosso,4353762,4746968,4882136,5632992,6445164,7912796,8976694,8009276,7992055,8830160,8734925,9380809,9884223,11262263,12723490,13542011,14082687,14494519,15570194,15478806,16594186,17150016,
PA,15,Pará,1142087,1129737,946898,891509,990071,1028444,1061815,983007,950688,894926,859286,793733,795974,818833,863784,921991,990298,1044728,1162676,1127425,1198602,1316338,
PB,25,Paraíba,452277,571081,464989,512077,571175,624985,547051,600509,553681,608054,601162,389052,520883,315695,269807,332744,290582,327362,310676,344695,325567,336984,
PE,26,Pernambuco,948694,1057256,1000197,1065474,1027877,1034149,1048113,1049471,1045232,1200854,1095570,1000977,1048136,916379,501357,803733,762022,785004,723642,705898,657034,704468,
PI,22,Piauí,739704,755478,761232,801748,809849,920826,991698,1004273,1021277,1015856,1089521,1084211,1210092,1240971,1365940,1441743,1466902,1406138,1548951,1569639,1565064,1583702,
PR,41,Paraná,7652752,7853944,8002948,8404740,9279977,9457679,9297592,9054166,9210485,9620395,9894073,9533355,9740331,9857170,10337789,10587901,10494673,10598562,10528044,10357553,10551878,10741346,
RJ,33,Rio de Janeiro,217063,206389,206597,198457,199190,211168,208228,201816,168004,168952,165922,166841,141384,157396,138238,121981,101833,79218,79665,75912,78802,75897,
RN,24,Rio Grande do Norte,270029,318465,262006,323774,339704,403689,289065,310099,303951,324194,324624,185248,264702,174029,179007,198677,185483,172881,188138,226824,242322,245377,
RO,11,Rondônia,359335,343489,283728,245980,291655,351157,386252,393201,383553,408939,436766,455482,546051,476280,447793,465183,505753,512621,585246,571287,657037,721910,
RR,14,Roraima,37432,37514,29994,38557,46744,59853,57923,54698,41908,46133,34833,34890,42135,43508,49804,47814,50600,52194,47578,66490,71665,84045,
RS,43,Rio Grande do Sul,6712808,6855647,6952013,7307665,7744954,8212434,8057307,7787542,7807398,7843982,7825015,7704864,7955427,8091176,8582561,8870901,8794217,8765239,8906802,8908912,9059847,9373130,
SC,42,Santa Catarina,1634930,1633817,1643643,1655747,1717082,1757864,1739115,1709302,1686266,1679634,1652209,1591685,1554786,1490575,1522750,1545087,1516713,1501987,1496067,1439395,1433136,1435429,
SE,28,Sergipe,223562,213578,216672,219446,256775,267024,261319,314330,295241,301765,311368,349366,304590,271294,279791,284818,282686,274342,260207,213475,212001,218519,
SP,35,São Paulo,4952553,4716173,4836170,4906919,5204285,5468870,5652633,5846450,5845071,6602732,6703347,6790575,6957714,7045089,7277216,7503691,7670689,7827257,8020736,7856136,8063719,8068262,
TO,17,Tocantins,294608,290097,309529,354883,409264,541537,681620,592253,580679,634838,598108,648502,705878,730965,834257,1034697,1199494,1227972,1278462,1348373,1413461,1547368,
